Event,Gold,Silver,Bronze,Total,Year,Season
PARA - Basketball,1,0,0,1,2004,Summer
PARA - Volleyball,0,0,1,1,2004,Summer
PARA - Goalball,0,1,1,2,2004,Summer
PARA - Rugby,0,0,1,1,2004,Summer
PARA - Table Tennis,0,0,1,1,2004,Summer
PARA - Judo,0,1,2,3,2004,Summer
PARA - Tennis,1,1,0,2,2004,Summer
PARA - Fencing,0,0,1,1,2004,Summer
PARA - Swimming,15,17,7,39,2000,Summer
PARA - Track & Field,14,15,20,49,2000,Summer
PARA - Cycling,3,4,2,9,2000,Summer
PARA - Powerlifting,1,1,0,2,2000,Summer
PARA - Sailing,0,0,1,1,2000,Summer
PARA - Basketball,0,0,1,1,2000,Summer
PARA - Rugby,1,0,0,1,2000,Summer
PARA - Judo,2,1,1,4,2000,Summer
PARA - Tennis,0,1,1,2,2000,Summer
PARA - Table Tennis,0,0,1,1,2000,Summer
PARA - Swimming,16,13,16,45,1996,Summer
PARA - Track & Field,22,24,32,78,1996,Summer
PARA - Cycling,2,5,6,13,1996,Summer
PARA - Equestrian,2,0,1,3,1996,Summer
PARA - Powerlifting,1,0,1,2,1996,Summer
PARA - Sailing,0,0,1,1,1996,Summer
PARA - Basketball,0,0,2,2,1996,Summer
PARA - Goalball,0,0,1,1,1996,Summer
PARA - Judo,0,1,3,4,1996,Summer
PARA - Tennis,1,2,0,3,1996,Summer
PARA - Boccia,0,0,1,1,1996,Summer
PARA - Table Tennis,2,1,2,5,1996,Summer
PARA - Swimming,29,16,12,57,1992,Summer
PARA - Track & Field,40,25,31,96,1992,Summer
PARA - Cycling,1,3,0,4,1992,Summer
PARA - Weightlifting,2,0,2,4,1992,Summer
PARA - Powerlifting,0,1,0,1,1992,Summer
PARA - Archery,0,1,0,1,1992,Summer
PARA - Basketball,0,1,0,1,1992,Summer
PARA - Judo,0,2,1,3,1992,Summer
PARA - Tennis,2,1,0,3,1992,Summer
PARA - Boccia,0,1,0,1,1992,Summer
PARA - Table Tennis,1,1,2,4,1992,Summer
PARA - Swimming,31,28,21,80,1988,Summer
PARA - Track & Field,50,56,56,162,1988,Summer
PARA - Cycling,0,1,2,3,1988,Summer
PARA - Weightlifting,1,2,0,3,1988,Summer
PARA - Powerlifting,1,0,3,4,1988,Summer
PARA - Archery,0,0,1,1,1988,Summer
PARA - Basketball,2,0,0,2,1988,Summer
PARA - Goalball,0,2,0,2,1988,Summer
PARA - Judo,0,0,2,2,1988,Summer
PARA - Table Tennis,3,1,1,5,1988,Summer
PARA - Swimming,37,25,43,105,1984,Summer
PARA - Track & Field,73,80,73,226,1984,Summer
PARA - Cycling,0,1,1,2,1984,Summer
PARA - Shooting,1,0,2,3,1984,Summer
PARA - Equestrian,5,7,1,13,1984,Summer
PARA - Weightlifting,1,2,2,5,1984,Summer
PARA - Powerlifting,3,1,1,5,1984,Summer
PARA - Archery,1,0,1,2,1984,Summer
PARA - Wrestling,7,2,0,9,1984,Summer
PARA - Boccia,2,1,2,5,1984,Summer
PARA - Lawn Bowls,0,0,1,1,1984,Summer
PARA - Table Tennis,0,3,1,4,1984,Summer
PARA - Swimming,19,14,18,51,1980,Summer
PARA - Track & Field,38,45,28,111,1980,Summer
PARA - Weightlifting,0,2,0,2,1980,Summer
PARA - Archery,1,1,0,2,1980,Summer
PARA - Basketball,0,0,2,2,1980,Summer
PARA - Wrestling,8,0,0,8,1980,Summer
PARA - Lawn Bowls,1,1,1,3,1980,Summer
PARA - Table Tennis,2,1,2,5,1980,Summer
PARA - Swimming,17,8,15,40,1976,Summer
PARA - Track & Field,36,34,26,96,1976,Summer
PARA - Weightlifting,2,0,1,3,1976,Summer
PARA - Archery,3,0,3,6,1976,Summer
PARA - Basketball,1,0,0,1,1976,Summer
PARA - Snooker,0,1,0,1,1976,Summer
PARA - Lawn Bowls,1,0,0,1,1976,Summer
PARA - Table Tennis,2,3,2,7,1976,Summer
PARA - Dartchery,1,1,0,2,1976,Summer
PARA - Swimming,1,3,4,8,1972,Summer
PARA - Track & Field,14,18,18,50,1972,Summer
PARA - Weightlifting,1,3,1,5,1972,Summer
PARA - Archery,0,2,0,2,1972,Summer
PARA - Basketball,1,0,0,1,1972,Summer
PARA - Table Tennis,0,1,1,2,1972,Summer
PARA - Lawn Bowls,0,0,2,2,1972,Summer
PARA - Dartchery,0,0,1,1,1972,Summer
PARA - Swimming,12,10,7,29,1968,Summer
PARA - Track & Field,16,11,16,43,1968,Summer
PARA - Weightlifting,0,0,2,2,1968,Summer
PARA - Archery,3,3,5,11,1968,Summer
PARA - Lawn Bowls,0,2,3,5,1968,Summer
PARA - Table Tennis,1,0,4,5,1968,Summer
PARA - Dartchery,1,0,0,1,1968,Summer
PARA - Swimming,22,18,14,54,1964,Summer
PARA - Track & Field,16,18,12,46,1964,Summer
PARA - Weightlifting,0,0,1,1,1964,Summer
PARA - Archery,7,0,2,9,1964,Summer
PARA - Basketball,1,0,0,1,1964,Summer
PARA - Snooker,0,1,0,1,1964,Summer
PARA - Table Tennis,1,2,2,5,1964,Summer
